No.,Case,"Amicus Curiae Briefs"
1,"Abrams v. Johnson, 521 U.S. 74 (1997)","1. Brief, MOTION FOR LEAVE TO FILE BRIEF AMICUS CURIAE AND BRIEF AMICUS CURIAE OF PACIFIC LEGAL FOUNDATION IN SUPPORT OF APPELLEES, August 2, 1996"
1,"Abrams v. Johnson, 521 U.S. 74 (1997)","2.    Brief, BRIEF AMICUS CURIAE OF THE GEORGIA ASSOCIATION OF BLACK ELECTED OFFICIALS IN SUPPORT OF APPELLANTS, July 19, 1996"
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","1.    Amicus Brief, BRIEF OF L. S. LEE, INC. AMICUS CURIAE ON BEHALF OF PETITIONER, December 6, 2000, 2000 U.S. S. Ct. Briefs LEXIS 836 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","2.    Amicus Brief, BRIEF OF SOUTHEASTERN LEGAL FOUNDATION, INC. AMICUS CURIAE ON BEHALF OF PETITIONER, December 6, 2000, 2000 U.S. S. Ct. Briefs LEXIS 835 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","3.    Brief, BRIEF OF THE NAACP LEGAL DEFENSE AND EDUCATIONAL FUND, INC. AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS, August 10, 2001, 2001 U.S. S. Ct. Briefs LEXIS 784 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","4.    Brief, BRIEF AMICUS CURIAE FOR THE ASSOCIATED GENERAL CONTRACTORS OF AMERICA, INC., IN SUPPORT OF PETITIONER, June 11, 2001, 2001 U.S. S. Ct. Briefs LEXIS 745 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","5.    Brief, BRIEF OF SENATOR MAX BAUCUS, ET AL., AMICI CURIAE IN SUPPORT OF AFFIRMANCE OF THE TENTH CIRCUIT COURT OF APPEALS, August 10, 2001, 2001 U.S. S. Ct. Briefs LEXIS 788 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","6.    Brief, BRIEF OF WOMEN FIRST NATIONAL LEGISLATIVE COMMITTEE, ET AL., AMICI CURIAE IN SUPPORT OF AFFIRMANCE OF THE TENTH CIRCUIT COURT OF APPEALS, August 10, 2001, 2001 U.S. S. Ct. Briefs LEXIS 790 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","7.    Brief, BRIEF OF AMICI CURIAE NOW LEGAL DEFENSE AND EDUCATION FUND, LAWYERS COMMITTEE FOR HUMAN RIGHTS, AND ALLARD K. LOWENSTEIN INTERNATIONAL HUMAN RIGHTS CLINIC IN SUPPORT OF RESPONDENTS, August 10, 2001, 2001 U.S. S. Ct. Briefs LEXIS 43 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","8.    Brief, BRIEF FOR THE CITY AND COUNTY OF DENVER AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS, August 10, 2001, 2001 U.S. S. Ct. Briefs LEXIS 786 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","9.    Brief, BRIEF AMICUS CURIAE OF PACIFIC LEGAL FOUNDATION, AMERICAN CIVIL RIGHTS INSTITUTE, AND CENTER FOR EQUAL OPPORTUNITY IN SUPPORT OF PETITIONER, June 6, 2001, 2001 U.S. S. Ct. Briefs LEXIS 740 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","10.    Brief, BRIEF OF THE MINORITY BUSINESS ENTERPRISE LEGAL DEFENSE AND EDUCATION FUND, INC., NATIONAL ASSOCIATION OF MINORITY CONTRACTORS, NATIONAL MINORITY SUPPLIER DEVELOPMENT COUNCIL, INC., AND LATIN AMERICAN MANAGEMENT ASSOCIATION AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 10, 2001, 2001 U.S. S. Ct. Briefs LEXIS 791 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","11.    Brief, BRIEF OF SOUTHEASTERN LEGAL FOUNDATION, INC. AMICUS CURIAE ON BEHALF OF PETITIONER, June 8, 2001, 2001 U.S. S. Ct. Briefs LEXIS 741 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","12.    Brief, BRIEF OF AMICUS CURIAE CENTER FOR INDIVIDUAL RIGHTS IN SUPPORT OF THE PETITIONER, June 11, 2001, 2001 U.S. S. Ct. Briefs LEXIS 746 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","13.    Brief, BRIEF OF AMICI CURIAE NATIONAL ASIAN PACIFIC AMERICAN LEGAL CONSORTIUM, ASIAN PACIFIC AMERICAN LEGAL CENTER, ASIAN AMERICAN LEGAL DEFENSE AND EDUCATION FUND, ASIAN LAW CAUCUS, ET AL. IN SUPPORT OF RESPONDENTS, August 10, 2001, 2001 U.S. S. Ct. Briefs LEXIS 789 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","14.    Brief, BRIEF OF THE NATIONAL LEAGUE OF CITIES, NATIONAL CONFERENCE OF STATE LEGISLATURES, U.S. CONFERENCE OF MAYORS, NATIONAL ASSOCIATION OF COUNTIES, INTERNATIONAL MUNICIPAL LAWYERS ASSOCIATION, AND INTERNATIONAL CITY-COUNTY MANAGEMENT ASSOCIATION AS AMICI CURIAE SUPPORTING RESPONDENTS, August 10, 2001, 2001 U.S. S. Ct. Briefs LEXIS 787 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","15.    Brief, BRIEF OF LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW, AMERICAN CIVIL LIBERTIES UNION, MEXICAN AMERICAN LEGAL DEFENSE AND EDUCATIONAL FUND, NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE, AND PEOPLE FOR THE AMERICAN WAY FOUNDATION, AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, August 10, 2001, 2001 U.S. S. Ct. Briefs LEXIS 785 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","16.    Brief, Brief of Amici Curiae Office of Communication of the United Church of Christ, Minority Media and Telecommunications Council, Alliance for Community Media, American Federation of Television and Radio Artists, American Hispanic Owned Radio Association, Black College Communication Association, Civil Rights Forum on Telecommunications Policy, Media Action Network of Asian Americans, National Asian American Telecommunications Association, National Association of Black Journalists, National Association of Black Owned Broadcasters, National Association of Black Telecommunications Professionals, National Association of Hispanic Journalists, National Association of Minorities in Communications, National Association of Minority Media Executives, National Hispanic Media Coalition, Telecommunications Research and Action Council, and Women's Institute for Freedom of the Press, In Support of Respondents, August 10, 2001, 2001 U.S. S. Ct. Briefs LEXIS 792 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","17.    Brief, BRIEF OF AMICUS CURIAE THE CLAREMONT INSTITUTE CENTER FOR CONSTITUTIONAL JURISPRUDENCE IN SUPPORT OF PETITIONER, June 11, 2001, 2001 U.S. S. Ct. Briefs LEXIS 744 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","18.    Brief, BRIEF OF L. S. LEE, INC. AMICUS CURIAE ON BEHALF OF PETITIONER, June 8, 2001, 2001 U.S. S. Ct. Briefs LEXIS 742 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","19.    Brief, BRIEF AMICUS CURIAE OF SOCIAL SCIENCE AND COMPARATIVE LAW SCHOLARS IN SUPPORT OF NEITHER PARTY, June 1, 2001, 2001 U.S. S. Ct. Briefs LEXIS 718 "
2,"Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","20.    Amicus Brief, BRIEF AMICUS CURIAE FOR THE ASSOCIATED GENERAL CONTRACTORS OF AMERICA, INC., IN SUPPORT OF PETITIONER, January 19, 2001, 2001 U.S. S. Ct. Briefs LEXIS 961 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","1.    Amicus Brief, BRIEF OF RELIGIOUS ORGANIZATION AMICI CURIAE FRIENDS COMMITTEE ON NATIONAL LEGISLATION, ET AL., IN SUPPORT OF RESPONDENTS, March 28, 2013, 2013 U.S. S. Ct. Briefs  1683 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","2.    Amicus Brief, BRIEF OF RELIGIOUS ORGANIZATION AMICI CURIAE FRIENDS COMMITTEE ON NATIONAL LEGISLATION, ET AL., IN SUPPORT OF RESPONDENTS, March 28, 2013, 2013 U.S. S. Ct. Briefs  1707 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","3.    Amicus Brief, BRIEF OF THE HAMLINE UNIVERSITY SCHOOL OF LAW CHILD ADVOCACY CLINIC AS AMICUS CURIAE IN SUPPORT OF RESPONDENTS BIRTH FATHER AND THE CHEROKEE NATION, March 26, 2013, 2013 U.S. S. Ct. Briefs  1665 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","4.    Amicus Brief, BRIEF OF CHILD ADVOCACY ORGANIZATIONS AS AMICI CURIAE IN SUPPORT OF BABY GIRL SUPPORTING REVERSAL, February 26, 2013, 2013 U.S. S. Ct. Briefs  1017 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","5.    Amicus Brief, BRIEF OF AMICA CURIAE BIRTH MOTHER IN SUPPORT OF PETITIONERS, October 31, 2012, 2012 U.S. S. Ct. Briefs  4614 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","6.    Amicus Brief, MOTION FOR LEAVE TO FILE BRIEF AS AMICI CURIAE AND BRIEF OF PROFESSOR JOAN HEIFETZ HOLLINGER, CENTER FOR ADOPTION POLICY, NATIONAL ASSOCIATION OF COUNSEL FOR CHILDREN, AND ADVOKIDS AS AMICI CURIAE IN SUPPORT OF RESPONDENT BABY GIRL, October 31, 2012, 2012 U.S. S. Ct. Briefs  4655 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","7.    Amicus Brief, BRIEF FOR CITIZENS EQUAL RIGHTS FOUNDATION AS AMICUS CURIAE SUPPORTING RESPONDENTS, February 26, 2013, 2013 U.S. S. Ct. Briefs  1349 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","8.    Amicus Brief, BRIEF OF AMICI CURIAE BONNIE AND SHANNON HOFER; ROGER, LOREAL, AND SIERRA LAUDERBAUGH; AND CRAIG AND ESTHER ADAMS IN SUPPORT OF PETITIONERS, February 26, 2013, 2013 U.S. S. Ct. Briefs  1197 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","9.    Amicus Brief, BRIEF FOR THE UNITED STATES AS AMICUS CURIAE SUPPORTING AFFIRMANCE, March 15, 2013, 2013 U.S. S. Ct. Briefs  1461 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","10.    Amicus Brief, BRIEF FOR AMICI CURIAE ASSOCIATION ON AMERICAN INDIAN AFFAIRS, NATIONAL CONGRESS OF AMERICAN INDIANS, NATIONAL INDIAN CHILD WELFARE ASSOCIATION, INDIAN TRIBES, AND OTHER INDIAN ORGANIZATIONS IN SUPPORT OF RESPONDENTS (Additional Atnici Listed On Inside Cover), March 28, 2013, 2013 U.S. S. Ct. Briefs  1682 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","11.    Amicus Brief, BRIEF OF CASEY FAMILY PROGRAMS, CHILD WELFARE LEAGUE OF AMERICA, CHILDREN'S DEFENSE FUND, DONALDSON ADOPTION INSTITUTE, NORTH AMERICAN COUNCIL ON ADOPTABLE CHILDREN, VOICE FOR ADOPTION, AND TWELVE OTHER NATIONAL CHILD WELFARE ORGANIZATIONS AS AMICI CURIAE IN SUPPORT OF RESPONDENT BIRTH FATHER, March 28, 2013, 2013 U.S. S. Ct. Briefs  1686 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","12.    Amicus Brief, BRIEF OF AMICUS CURIAE ADOPTIVE PARENTS COMMITTEE, INC. IN SUPPORT OF PETITIONERS, February 28, 2013, 2013 U.S. S. Ct. Briefs  1391 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","13.    Amicus Brief, BRIEF OF THE HONORABLE ABBY ABINANTI, CHIEF JUSTICE OF THE YUROK TRIBAL COURT AS AMICA CURIAE IN SUPPORT OF RESPONDENT BIRTH FATHER AND RESPONDENT CHEROKEE NATION, March 26, 2013, 2013 U.S. S. Ct. Briefs  1689 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","14.    Amicus Brief, BRIEF OF THE STATES OF ARIZONA, ALASKA, CALIFORNIA, COLORADO, CONNECTICUT, GEORGIA, IDAHO, ILLINOIS, MAINE, MICHIGAN, MISSISSIPPI, MONTANA, NEW MEXICO, NEW YORK, NORTH DAKOTA, OREGON, WASHINGTON AND WISCONSIN AS AMICI CURIAE IN SUPPORT OF RESPONDENTS BIRTH FATHER AND THE CHEROKEE NATION, March 28, 2013, 2013 U.S. S. Ct. Briefs  1722 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","15.    Amicus Brief, BRIEF OF CASEY FAMILY PROGRAMS, CHILD WELFARE LEAGUE OF AMERICA, CHILDREN'S DEFENSE FUND, DONALDSON ADOPTION INSTITUTE, NORTH AMERICAN COUNCIL ON ADOPTABLE CHILDREN, VOICE FOR ADOPTION, AND TWELVE OTHER NATIONAL CHILD WELFARE ORGANIZATIONS AS AMICI CURIAE IN SUPPORT OF RESPONDENT BIRTH FATHER, March 28, 2013, 2013 U.S. S. Ct. Briefs  1710 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","16.    Amicus Brief, BRIEF OF AMICI CURIAE TANANA CHIEFS CONFERENCE, BRISTOL BAY NATIVE ASSOCIATION, ASSOCIATION OF VILLAGE COUNCIL PRESIDENTS, CENTRAL COUNCIL OF TLINGIT AND HAIDA INDIAN TRIBES OF ALASKA, ALEUTIAN PRIBILOF ISLANDS ASSOCIATION, NATIVE VILLAGE OF BARROW, AND THE ORUTSARAMIUT NATIVE COUNCIL IN SUPPORT OF RESPONDENTS, March 28, 2013, 2013 U.S. S. Ct. Briefs  1726 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","17.    Amicus Brief, BRIEF OF AMICI CURIAE NATIONAL COUNCIL FOR ADOPTION IN SUPPORT OF PETITIONERS, October 31, 2012, 2012 U.S. S. Ct. Briefs  4615 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","18.    Amicus Brief, BRIEF OF AMICUS CURIAE CHRISTIAN ALLIANCE FOR INDIAN CHILD WELFARE IN SUPPORT OF PETITIONERS, February 26, 2013, 2013 U.S. S. Ct. Briefs  1198 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","19.    Amicus Brief, BRIEF FOR AMICI CURIAE ADULT PRE-ICWA INDIAN ADOPTEES SUPPORTING BIRTH FATHER AND THE CHEROKEE NATION, March 28, 2013, 2013 U.S. S. Ct. Briefs  1711 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","20.    Amicus Brief, BRIEF OF PROFESSOR JOAN HEIFETZ HOLLINGER, PROFESSOR ELIZABETH BARTHOLET, CENTER FOR ADOPTION POLICY, AND ADVOKIDS AS AMICI CURIAE IN SUPPORT OF RESPONDENT BABY GIRL AND REVERSAL, February 26, 2013, 2013 U.S. S. Ct. Briefs  1001 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","21.    Amicus Brief, BRIEF OF PROFESSORS OF INDIAN LAW AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, March 22, 2013, 2013 U.S. S. Ct. Briefs  1591 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","22.    Amicus Brief, BRIEF FOR THE NAVAJO NATION AS AMICUS CURIAE SUPPORTING AFFIRMANCE, March 26, 2013, 2013 U.S. S. Ct. Briefs  1822 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","23.    Amicus Brief, AMICUS BRIEF OF THE AMERICAN CIVIL LIBERTIES UNION AND THE ACLU OF SOUTH CAROLINA, IN SUPPORT OF RESPONDENTS, March 28, 2013, 2013 U.S. S. Ct. Briefs  1777 "
